RMSE,NRMSE,Pearson,Kendall,Spearman
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(7.6553136157266355)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(11.580965582388318)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.3212265623720789)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.22388991672748806)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.3461445730897827)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.45972912770984437)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.6954786534534094)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.6857225321184698)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.5164109045631543)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.7001236914037585)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.02456998334008111)}","{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.9978916695937647)}","{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.0649015851529742)}","{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.044781421579881846)}","{'Tree': 2, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.14305385446576924)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.024455379743423284)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.9174217487631561)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.3979162410562498)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.29186704959746534)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.42357628694489313)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.2632239636693906)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.9025200963298092)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.5832161421048562)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.4258357278296191)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.5981488440998302)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.47068575324484174)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(1.8274336688942079)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.30516326759726947)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.15838519004967067)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.2780150262491655)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.02639584303538721)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.9902164976242122)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(-0.04731290129258632)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(-0.03451859536680181)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(-0.05195162617951993)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(0.4042691615645721)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(1.3861239590506829)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.28620250329900454)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.21800698882301064)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.2952525304715558)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(0.7411527599515683)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(2.8775196572070993)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.3055694311072622)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.2848250328319544)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.32453903643087856)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': nan}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(0.04798983162393652)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(0.015912161650229628)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(0.01694824069722542)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': nan}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.42598490851522886)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.26680330970295885)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.35874844746727536)}"
"{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.2564608975171797)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.9957073815105052)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(-0.09560953535291855)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(-0.07484708741848599)}","{'Tree': 2, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(-0.11228511365925851)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.022590701735447416)}","{'Tree': 2, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.8782987352337882)}","{'Tree': 2, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.47811225845687766)}","{'Tree': 2, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.3860005344124773)}","{'Tree': 2, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.5044503134230802)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.03357555309537433)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.9496925838587538)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.31318364606677307)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.1923781478971957)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.31948630745306256)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.48925403243136656)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(1.2697957488345883)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.3298322583865008)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.18034587070437172)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.260079930775354)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.504758302906418)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(2.168678317822507)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.22896757238375867)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.17281672691764566)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.3312614273075366)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.034568671275696794)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.9777831701275318)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.23509348967505989)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.07615545406515198)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.1390239711714318)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(0.47183564222541496)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(1.224588563264458)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.14040820609021806)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.11612411247669978)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.16773841537398773)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(0.9578476256358224)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(4.115362472560062)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.5154665180484267)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.4167812931003158)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.5870116412534593)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': nan}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(0.3049045459072898)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(0.19539691417555874)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(0.2902163345852349)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': nan}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.35275995105530944)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.284948646040041)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.3673005224607101)}"
"{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.23249868619363767)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.9989233594912102)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.054041970751447406)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.13514125396484414)}","{'Tree': 2, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.17598484911173595)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.04477275670552053)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.9886484310435686)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.15024739530218334)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.07090413212032907)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.10053651749316334)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.027249060348576153)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.9479432587040385)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.31843928507262836)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.05744034456044183)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.10564427050521068)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.5386599584793745)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(1.998036174411122)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.46134902450500637)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.1691659300503304)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.2234112067209825)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.4556295682699725)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.9189584732305122)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(-0.5295066602259649)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(-0.20068852605009585)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(-0.2793567010716528)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.024356705125160073)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.8473236923505164)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.6037967945436814)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.3482612131702381)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(0.48577058616437424)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(0.42707169907206916)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(1.5841249945922762)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.8991401489873302)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.6590889475333276)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.8163846475397778)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(1.0162702370208911)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(2.0497136499467974)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.8867270849743122)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.7897493169497444)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(-0.9266869459025101)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': nan}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(-0.5465470556688763)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(-0.3047270456535028)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(-0.43428294593873457)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': nan}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.5951889325408498)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.38090010703954047)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(-0.5322615523454713)}"
"{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.23487922192761082)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.4737274887486549)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.84804053605189)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.6604225933391079)}","{'Tree': 3, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(0.8249024450235548)}"
"{'Tree': 3, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.05233380259820718)}","{'Tree': 3, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.9638419583907962)}","{'Tree': 3, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.26647453770556967)}","{'Tree': 3, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.10015614013484424)}","{'Tree': 3, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.11667192512715684)}"
"{'Tree': 3, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.04643169429863305)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.9076638887947561)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.4196978257961007)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.16483798682078382)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.24987421426578507)}"
"{'Tree': 3, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.3325512358219374)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(1.7938518736979943)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.5911788458041302)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.21070147099335101)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.2697624847407582)}"
"{'Tree': 3, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(0.6286912978203234)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(1.3053318461464054)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(-0.5795963717757323)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(-0.28869407096161936)}","{'Tree': 3, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(-0.40504056053429666)}"
